Column,Value,Count,Percentage
RX Summ--Surg/Rad Seq,Surgery both before and after radiation,55,0.833585935
RX Summ--Surg/Rad Seq,Intraoperative rad with other rad before/after surgery,35,0.530463777
RX Summ--Surg/Rad Seq,Intraoperative radiation,20,0.303122158
RX Summ--Surg/Rad Seq,"Sequence unknown, but both were given",1,0.015156108
Reason no cancer-directed surgery,Surgery performed,5574,84.4801455
Reason no cancer-directed surgery,Not recommended,901,13.65565323
Reason no cancer-directed surgery,"Not recommended, contraindicated due to other cond; autopsy only (1973-2002)",57,0.863898151
Reason no cancer-directed surgery,"Recommended but not performed, patient refused",29,0.439527129
Reason no cancer-directed surgery,"Recommended, unknown if performed",20,0.303122158
Reason no cancer-directed surgery,"Recommended but not performed, unknown reason",11,0.166717187
Reason no cancer-directed surgery,"Not performed, patient died prior to recommended surgery",5,0.07578054
Reason no cancer-directed surgery,Unknown; death certificate; or autopsy only (2003+),1,0.015156108
Radiation recode,None/Unknown,3682,55.80478933
Radiation recode,Beam radiation,2741,41.54289179
Radiation recode,"Recommended, unknown if administered",72,1.09123977
Radiation recode,Refused (1988+),63,0.954834798
Radiation recode,"Radiation, NOS  method or source not specified",13,0.197029403
Radiation recode,Combination of beam with implants or isotopes,13,0.197029403
Radiation recode,Radioactive implants (includes brachytherapy) (1988+),11,0.166717187
Radiation recode,Radioisotopes (1988+),3,0.045468324
"Chemotherapy recode (yes, no/unk)",No/Unknown,4604,69.77872082
"Chemotherapy recode (yes, no/unk)",Yes,1994,30.22127918
Mets at DX-Distant LN (2016+),None; no lymph node metastases,6399,96.98393453
Mets at DX-Distant LN (2016+),Yes; distant lymph node metastases,127,1.924825705
Mets at DX-Distant LN (2016+),Unknown,72,1.09123977
Mets at DX-Other (2016+),None; no other metastases,6259,94.86207942
Mets at DX-Other (2016+),"Yes; distant mets in known site(s) other than bone, brain, liver, lung, dist LN",259,3.925431949
Mets at DX-Other (2016+),Unknown,73,1.106395878
Mets at DX-Other (2016+),generalized metastases such as carinomatosis,7,0.106092755
Survival months,3,195,2.955441043
Survival months,2,194,2.940284935
Survival months,6,188,2.849348287
Survival months,1,173,2.622006669
Survival months,4,168,2.546226129
Survival months,8,167,2.531070021
Survival months,7,160,2.424977266
Survival months,14,158,2.39466505
Survival months,11,155,2.349196726
Survival months,0,150,2.273416187
Survival months,5,145,2.197635647
Survival months,9,143,2.167323431
Survival months,13,142,2.152167323
Survival months,10,136,2.061230676
Survival months,12,134,2.03091846
Survival months,17,131,1.985450136
Survival months,16,130,1.970294028
Survival months,15,124,1.879357381
Survival months,29,117,1.773264626
Survival months,18,110,1.66717187
Survival months,27,105,1.591391331
Survival months,23,101,1.530766899
Survival months,25,100,1.515610791
Survival months,21,97,1.470142467
Survival months,19,96,1.45498636
Survival months,20,95,1.439830252
Survival months,30,94,1.424674144
Survival months,31,93,1.409518036
Survival months,28,90,1.364049712
Survival months,22,89,1.348893604
Survival months,34,87,1.318581388
Survival months,26,87,1.318581388
Survival months,38,83,1.257956957
Survival months,40,81,1.227644741
Survival months,33,77,1.167020309
Survival months,24,75,1.136708093
Survival months,52,72,1.09123977
Survival months,32,71,1.076083662
Survival months,39,69,1.045771446
Survival months,54,68,1.030615338
Survival months,37,68,1.030615338
Survival months,41,68,1.030615338
Survival months,35,68,1.030615338
Survival months,47,67,1.01545923
Survival months,51,65,0.985147014
Survival months,60,65,0.985147014
Survival months,45,64,0.969990906
Survival months,43,63,0.954834798
Survival months,64,63,0.954834798
Survival months,49,62,0.939678691
Survival months,63,62,0.939678691
Survival months,59,61,0.924522583
Survival months,48,61,0.924522583
Survival months,56,60,0.909366475
Survival months,55,59,0.894210367
Survival months,67,58,0.879054259
Survival months,57,58,0.879054259
Survival months,53,57,0.863898151
Survival months,69,57,0.863898151
Survival months,66,56,0.848742043
Survival months,50,55,0.833585935
Survival months,42,55,0.833585935
Survival months,68,55,0.833585935
Survival months,70,55,0.833585935
Survival months,62,55,0.833585935
Survival months,36,54,0.818429827
Survival months,44,53,0.803273719
Survival months,46,51,0.772961503
Survival months,61,49,0.742649288
Survival months,58,46,0.697180964
Survival months,71,42,0.636556532
Survival months,65,36,0.545619885
SEER cause-specific death classification,Alive or dead of other cause,5285,80.10003031
SEER cause-specific death classification,Dead (attributable to this cancer dx),1266,19.18763262
SEER cause-specific death classification,Dead (missing/unknown COD),47,0.712337072
COD to site recode,Alive,4857,73.61321613
COD to site recode,Soft Tissue including Heart,776,11.76113974
COD to site recode,Bones and Joints,247,3.743558654
COD to site recode,Miscellaneous Malignant Cancer,166,2.515913913
COD to site recode,Diseases of Heart,73,1.106395878
COD to site recode,Other Cause of Death,73,1.106395878
COD to site recode,Lung and Bronchus,57,0.863898151
COD to site recode,State DC not available or state DC available but no COD,47,0.712337072
COD to site recode,Breast,22,0.333434374
COD to site recode,"In situ, benign or unknown behavior neoplasm",19,0.28796605
COD to site recode,Prostate,16,0.242497727
COD to site recode,Chronic Obstructive Pulmonary Disease and Allied Cond,14,0.212185511
COD to site recode,Retroperitoneum,14,0.212185511
COD to site recode,Non-Melanoma Skin,12,0.181873295
COD to site recode,Cerebrovascular Diseases,11,0.166717187
COD to site recode,"Uterus, NOS",11,0.166717187
COD to site recode,Septicemia,10,0.151561079
COD to site recode,Brain and Other Nervous System,9,0.136404971
COD to site recode,Kidney and Renal Pelvis,9,0.136404971
COD to site recode,Accidents and Adverse Effects,9,0.136404971
COD to site recode,Alzheimers (ICD-9 and 10 only),8,0.121248863
COD to site recode,Pancreas,7,0.106092755
COD to site recode,Melanoma of the Skin,7,0.106092755
COD to site recode,Diabetes Mellitus,7,0.106092755
COD to site recode,Colon excluding Rectum,7,0.106092755
COD to site recode,Acute Myeloid Leukemia,6,0.090936647
COD to site recode,Other Infectious and Parasitic Diseases including HIV,6,0.090936647
COD to site recode,Pneumonia and Influenza,6,0.090936647
COD to site recode,"Nephritis, Nephrotic Syndrome and Nephrosis",6,0.090936647
COD to site recode,Hypertension without Heart Disease,5,0.07578054
COD to site recode,Other Endocrine including Thymus,5,0.07578054
COD to site recode,Urinary Bladder,5,0.07578054
COD to site recode,"Trachea, Mediastinum and Other Respiratory Organs",5,0.07578054
COD to site recode,Gum and Other Mouth,5,0.07578054
COD to site recode,Stomach,4,0.060624432
COD to site recode,"Peritoneum, Omentum and Mesentery",4,0.060624432
COD to site recode,Congenital Anomalies,4,0.060624432
COD to site recode,Ovary,4,0.060624432
COD to site recode,Suicide and Self-Inflicted Injury,3,0.045468324
COD to site recode,Liver,3,0.045468324
COD to site recode,"Other Diseases of Arteries, Arterioles, Capillaries",3,0.045468324
COD to site recode,Chronic Lymphocytic Leukemia,3,0.045468324
COD to site recode,Myeloma,3,0.045468324
COD to site recode,"Symptoms, Signs and Ill-Defined Conditions",3,0.045468324
COD to site recode,Nasopharynx,2,0.030312216
COD to site recode,"Nose, Nasal Cavity and Middle Ear",2,0.030312216
COD to site recode,Small Intestine,2,0.030312216
COD to site recode,Thyroid,2,0.030312216
COD to site recode,Non-Hodgkin Lymphoma,2,0.030312216
COD to site recode,Vulva,2,0.030312216
COD to site recode,Testis,2,0.030312216
COD to site recode,Other Male Genital Organs,2,0.030312216
COD to site recode,Cervix Uteri,1,0.015156108
COD to site recode,Penis,1,0.015156108
COD to site recode,Rectum and Rectosigmoid Junction,1,0.015156108
COD to site recode,Pleura,1,0.015156108
COD to site recode,Stomach and Duodenal Ulcers,1,0.015156108
COD to site recode,Homicide and Legal Intervention,1,0.015156108
COD to site recode,Aortic Aneurysm and Dissection,1,0.015156108
COD to site recode,Atherosclerosis,1,0.015156108
COD to site recode,Chronic Myeloid Leukemia,1,0.015156108
COD to site recode,Esophagus,1,0.015156108
COD to site recode,Corpus Uteri,1,0.015156108
